athlete_display_name,game_date,game_date_time,points,assists,offensive_rebounds,home_away,season_type,opponent_defensive_rating,minutes
Andrew Wiggins,2025-11-10,2025-11-10 19:30:00,23,5,1,home,regular,118.6,37
Norman Powell,2025-11-10,2025-11-10 19:30:00,33,2,0,home,regular,118.6,39
Davion Mitchell,2025-11-10,2025-11-10 19:30:00,11,8,0,home,regular,118.6,38
Giannis Antetokounmpo,2025-11-10,2025-11-10 20:30:00,30,6,3,away,regular,108.4,37
Gary Trent Jr.,2025-11-10,2025-11-10 20:30:00,3,1,0,away,regular,108.4,27
Bobby Portis,2025-11-10,2025-11-10 20:30:00,13,0,2,away,regular,108.4,27
Ivica Zubac,2025-11-10,2025-11-10 22:30:00,13,1,3,home,regular,108.5,30
James Harden,2025-11-10,2025-11-10 22:30:00,35,11,3,home,regular,108.5,39
Michael Porter Jr.,2025-11-11,2025-11-11 19:30:00,21,3,1,home,regular,107.8,36
OG Anunoby,2025-11-11,2025-11-11 19:30:00,16,3,0,home,regular,119,36
Karl-Anthony Towns,2025-11-11,2025-11-11 19:30:00,21,4,4,home,regular,119,32
Mikal Bridges,2025-11-11,2025-11-11 19:30:00,22,5,4,home,regular,119,38
Jalen Brunson,2025-11-11,2025-11-11 19:30:00,32,10,0,home,regular,119,36
Josh Hart,2025-11-11,2025-11-11 19:30:00,8,8,0,home,regular,119,30
Derrick White,2025-11-11,2025-11-11 20:00:00,18,7,0,away,regular,101.7,35
Jaylen Brown,2025-11-11,2025-11-11 20:00:00,24,5,1,away,regular,101.7,35
Jimmy Butler III,2025-11-11,2025-11-11 20:00:00,12,2,1,away,regular,100.2,22
Draymond Green,2025-11-11,2025-11-11 20:00:00,3,4,0,away,regular,100.2,22
Stephen Curry,2025-11-11,2025-11-11 20:00:00,11,0,0,away,regular,100.2,20
Brandin Podziemski,2025-11-11,2025-11-11 20:00:00,10,1,0,away,regular,100.2,21
Aaron Gordon,2025-11-11,2025-11-11 23:00:00,17,3,4,away,regular,127.2,30
Jamal Murray,2025-11-11,2025-11-11 23:00:00,23,8,0,away,regular,127.2,37
Christian Braun,2025-11-11,2025-11-11 23:00:00,12,1,0,away,regular,127.2,30
Tim Hardaway Jr.,2025-11-11,2025-11-11 23:00:00,6,1,0,away,regular,127.2,24
Gary Trent Jr.,2025-11-12,2025-11-12 19:00:00,2,4,0,away,regular,107.9,29
Bobby Portis,2025-11-12,2025-11-12 19:00:00,14,1,3,away,regular,107.9,23
OG Anunoby,2025-11-12,2025-11-12 19:00:00,8,1,0,home,regular,104.8,34
Karl-Anthony Towns,2025-11-12,2025-11-12 19:00:00,15,4,2,home,regular,104.8,35
Mikal Bridges,2025-11-12,2025-11-12 19:00:00,6,2,0,home,regular,104.8,28
Jalen Brunson,2025-11-12,2025-11-12 19:00:00,31,6,1,home,regular,104.8,37
Josh Hart,2025-11-12,2025-11-12 19:00:00,10,2,1,home,regular,104.8,18
Jaren Jackson Jr.,2025-11-12,2025-11-12 19:30:00,18,0,2,away,regular,93.7,23
Kentavious Caldwell-Pope,2025-11-12,2025-11-12 19:30:00,0,3,1,away,regular,93.7,19
Derrick White,2025-11-12,2025-11-12 19:30:00,20,4,3,home,regular,134.7,26
Jaylen Brown,2025-11-12,2025-11-12 19:30:00,19,6,3,home,regular,134.7,25
Andrew Wiggins,2025-11-12,2025-11-12 19:30:00,17,6,2,home,regular,103.8,33
Norman Powell,2025-11-12,2025-11-12 19:30:00,27,5,0,home,regular,103.8,33
Davion Mitchell,2025-11-12,2025-11-12 19:30:00,16,4,0,home,regular,103.8,34
Rui Hachimura,2025-11-12,2025-11-12 21:47:00,13,1,0,away,regular,91.7,33
Austin Reaves,2025-11-12,2025-11-12 21:47:00,13,3,0,away,regular,91.7,30
Shai Gilgeous-Alexander,2025-11-12,2025-11-12 21:47:00,30,9,0,home,regular,117.3,29
Aaron Gordon,2025-11-12,2025-11-12 22:30:00,18,0,2,away,regular,129.5,31
Jamal Murray,2025-11-12,2025-11-12 22:30:00,15,4,1,away,regular,129.5,33
Christian Braun,2025-11-12,2025-11-12 22:30:00,6,4,2,away,regular,129.5,16
Tim Hardaway Jr.,2025-11-12,2025-11-12 22:30:00,12,3,0,away,regular,129.5,21
Ivica Zubac,2025-11-12,2025-11-12 22:30:00,18,1,6,home,regular,120.4,32
James Harden,2025-11-12,2025-11-12 22:30:00,23,5,0,home,regular,120.4,30
