 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
29,Jalen Johnson,ATL,23,2,1,1,20.7,106.4,96.7,9.6,8.3,0.67,7.4,0.0,18.8,10.1,11.1,65.8,70.2,25.5,107.87,22.6,94
30,Marvin Bagley III,WAS,26,2,1,1,19.7,137.5,91.0,46.5,17.9,1.67,16.7,22.5,19.6,20.9,10.0,62.5,64.5,25.5,96.29,22.3,80
31,Pete Nance,MIL,25,3,3,0,10.3,103.1,80.0,23.1,20.0,0.00,16.7,0.0,14.6,8.5,0.0,64.3,63.8,21.7,101.03,22.2,65
32,Austin Reaves,LAL,27,2,1,1,21.7,106.4,106.3,0.1,25.0,0.71,13.2,2.4,12.5,7.3,18.4,69.0,76.7,30.8,104.48,21.5,94
33,Victor Wembanyama,SAS,21,4,4,0,19.6,129.4,109.9,19.5,35.8,1.00,22.9,8.8,33.8,23.4,22.9,68.6,75.4,33.3,104.59,21.2,170
34,Nikola Đurišić,ATL,21,2,1,1,12.1,105.6,87.5,18.1,20.0,3.00,21.4,0.0,9.1,5.3,7.1,62.5,73.5,18.0,109.54,21.2,54
35,Lester Quinones,ORL,24,3,3,0,6.9,118.2,77.8,40.4,20.0,3.00,20.0,4.0,18.8,12.3,6.7,33.3,49.1,20.3,103.11,21.0,44
36,Jeremiah Robinson-Earl,DAL,24,3,2,1,13.6,102.3,86.9,15.4,17.4,1.33,16.0,8.7,17.4,13.0,12.0,61.8,65.5,20.8,100.33,20.8,86
37,Oscar Tshiebwe,UTA,25,1,0,1,6.7,114.3,142.9,-28.6,0.0,0.00,0.0,0.0,44.4,26.7,0.0,0.0,113.6,6.3,100.80,20.7,14
38,Malaki Branham,WAS,22,1,0,1,7.1,131.3,53.3,77.9,20.0,0.00,25.0,11.1,0.0,5.0,0.0,50.0,69.4,14.3,105.04,20.5,16
